transaction_id,customer_id,transaction_date,transaction_type,amount
65729,3302,2025-01-01 00:00:00,Bank Transfer,271040.36
100855,8069,2025-01-01 00:00:00,Bank Transfer,389439.44
43254,4752,2025-01-01 00:00:00,Shopping Payment,74162.57
43050,6521,2025-01-01 00:00:00,Bank Transfer,141149.29
46190,1833,2025-01-01 00:00:00,Shopping Payment,696860.92
176567,3508,2025-01-01 00:00:00,Shopping Payment,105760.15
27257,1465,2025-01-01 00:00:00,Shopping Payment,298189.03
59017,4435,2025-01-01 00:00:00,Shopping Payment,320982.61
52448,4002,2025-01-01 00:00:00,Shopping Payment,324397.53
199727,1179,2025-01-01 00:00:00,Shopping Payment,253494.33
192055,4000,2025-01-01 00:00:00,Bank Transfer,430138.65
115242,7270,2025-01-01 00:00:00,Shopping Payment,226143.74
124175,1018,2025-01-01 00:00:00,Bank Transfer,201570.07
77348,1392,2025-01-01 01:00:00,Shopping Payment,712928.39
112670,9363,2025-01-01 01:00:00,Bank Transfer,577697.48
117226,3302,2025-01-01 01:00:00,Bank Transfer,463621.42
28,2666,2025-01-01 01:00:00,Shopping Payment,155720.96
114685,2846,2025-01-01 01:00:00,Shopping Payment,90875.49
165969,7187,2025-01-01 01:00:00,Shopping Payment,240152.68
89966,4805,2025-01-01 01:00:00,Shopping Payment,84471.95
93162,9833,2025-01-01 01:00:00,Bank Transfer,343203.52
77934,5715,2025-01-01 01:00:00,Bank Transfer,855560.79
92319,5877,2025-01-01 01:00:00,Shopping Payment,327779.44
59097,2003,2025-01-01 01:00:00,Shopping Payment,255564.08
3571,6252,2025-01-01 01:00:00,Shopping Payment,93332.51
102477,6905,2025-01-01 01:00:00,Bank Transfer,161613.71
87927,8657,2025-01-01 01:00:00,Shopping Payment,90159.13
67784,9679,2025-01-01 01:00:00,Shopping Payment,50038.87
28589,762,2025-01-01 01:00:00,Shopping Payment,231510.81
112808,3251,2025-01-01 01:00:00,Bank Transfer,341082.85
5055,8563,2025-01-01 01:00:00,Shopping Payment,156188.68
