fee_id,transaction_id,fee_percentage,fee_amount
1,65729,0.5,1355.2
2,100855,0.5,1947.2
3,43254,1.0,741.63
4,43050,0.5,705.75
5,46190,1.0,6968.61
6,176567,1.0,1057.6
7,27257,1.0,2981.89
8,59017,1.0,3209.83
9,52448,1.0,3243.98
10,199727,1.0,2534.94
11,192055,0.5,2150.69
12,115242,1.0,2261.44
13,124175,0.5,1007.85
14,77348,1.0,7129.28
15,112670,0.5,2888.49
16,117226,0.5,2318.11
17,28,1.0,1557.21
18,114685,1.0,908.75
19,165969,1.0,2401.53
20,89966,1.0,844.72
21,93162,0.5,1716.02
22,77934,0.5,4277.8
23,92319,1.0,3277.79
24,59097,1.0,2555.64
25,3571,1.0,933.33
26,102477,0.5,808.07
27,87927,1.0,901.59
28,67784,1.0,500.39
29,28589,1.0,2315.11
30,112808,0.5,1705.41
31,5055,1.0,1561.89
32,38491,1.0,850.25
33,57170,1.0,2246.65
34,6554,1.0,1309.74
35,191076,0.5,725.87
36,38410,0.5,549.11
37,104982,1.0,1540.68
38,99570,1.0,1290.33
39,180864,1.0,628.17
40,50255,1.0,1279.67
41,1882,0.5,7268.87
42,92353,0.5,700.24
43,127430,1.0,1253.98
44,81720,1.0,1944.84
45,109576,1.0,744.08
46,84862,1.0,3315.84
47,42412,0.5,2444.58
48,83177,1.0,1081.57
49,129380,1.0,2498.55
50,39638,1.0,1615.73
51,54745,0.5,768.94
52,185549,1.0,2201.4
53,5830,1.0,1798.65
54,172132,0.5,612.28
55,87845,0.5,2199.71
56,54233,1.0,5302.63
57,186161,1.0,1665.93
58,158491,1.0,594.6
59,132459,0.5,7284.4
60,30370,1.0,2149.66
61,115810,1.0,4756.11
62,119472,1.0,2433.79
63,6018,1.0,1390.58
64,141549,0.5,3371.17
65,6603,1.0,1738.08
66,193739,1.0,1122.04
67,108971,0.5,1240.02
68,174949,1.0,2077.86
69,173823,0.5,1751.55
70,95880,0.5,580.99
71,86247,1.0,4003.84
72,69764,1.0,1362.45
73,104408,1.0,2238.27
74,96638,1.0,4724.14
75,136650,1.0,583.92
76,159734,0.5,1677.86
77,152787,1.0,3886.52
78,70685,0.5,2851.89
79,163675,1.0,943.31
80,191812,0.5,2131.71
81,4674,1.0,926.81
82,28961,0.5,2302.48
83,139347,0.5,1975.56
84,97615,1.0,1080.76
85,29170,0.5,1988.43
86,179696,0.5,6271.78
87,187438,1.0,760.24
88,171436,1.0,2612.02
89,184784,1.0,2059.5
90,164755,1.0,1696.59
91,179557,0.5,2927.56
92,68645,1.0,6223.97
93,116303,0.5,2697.89
94,18595,1.0,1976.51
95,154593,0.5,3241.12
96,67189,0.5,2327.65
97,40858,1.0,1302.33
98,144755,1.0,644.8
99,155708,1.0,4336.92
100,166385,0.5,2672.42
101,16945,0.5,1326.94
102,189794,1.0,639.05
103,140824,1.0,1270.49
104,136597,1.0,3666.45
105,172034,1.0,1485.8
106,155515,1.0,966.63
107,186137,1.0,588.62
108,196874,1.0,1341.72
109,158347,0.5,24589.93
110,121362,0.5,4900.65
111,5210,1.0,4250.76
112,95969,0.5,1818.41
113,116621,0.5,350.6
114,1858,1.0,1952.07
115,59786,1.0,1294.57
116,126954,0.5,148.94
117,103901,1.0,394.08
118,71530,1.0,919.37
119,163686,1.0,1147.97
120,90760,1.0,869.66
121,30440,0.5,781.14
122,114186,0.5,694.41
123,7809,1.0,2550.03
124,92902,0.5,2571.78
125,125217,1.0,2542.36
126,44701,0.5,2325.93
127,12697,1.0,1664.87
128,49337,1.0,2972.71
129,131746,0.5,826.86
130,172613,0.5,2666.1
131,43979,1.0,1402.59
132,43136,0.5,534.98
133,119602,0.5,952.51
134,180219,1.0,3220.29
135,176611,1.0,2200.18
136,149207,1.0,5721.99
137,77420,1.0,2051.25
138,150954,1.0,2077.03
139,32952,0.5,2422.21
140,156057,1.0,1915.42
141,81022,0.5,1393.49
142,141550,0.5,2272.75
143,195366,1.0,1411.77
144,105824,0.5,10377.38
145,13216,0.5,969.48
146,179794,0.5,1317.53
147,44276,1.0,1269.22
148,12244,0.5,2342.73
149,133188,1.0,770.43
150,70046,0.5,984.22
151,102580,1.0,2186.9
152,154828,1.0,986.9
153,181652,0.5,334.05
154,153899,0.5,868.11
155,109451,1.0,1226.47
156,3118,1.0,3732.68
157,47738,1.0,859.47
158,68212,0.5,6358.24
159,1295,0.5,1415.73
160,104420,0.5,702.65
161,42161,0.5,633.38
162,174257,0.5,6743.78
163,18956,0.5,8898.78
164,67193,0.5,1141.44
165,168935,0.5,3806.41
166,25832,1.0,774.1
167,36821,1.0,659.2
168,164198,0.5,535.35
169,177931,0.5,6303.19
170,37131,1.0,2051.16
171,92144,1.0,2026.8
172,12057,1.0,855.29
173,157319,1.0,1936.99
174,123298,1.0,1233.79
175,26858,1.0,1770.25
176,171723,1.0,1590.26
177,162524,1.0,2820.5
178,174471,0.5,9485.44
179,169719,0.5,2145.83
180,192195,1.0,876.37
181,84647,1.0,1222.37
182,121265,0.5,3225.83
183,13164,1.0,1518.24
184,156217,1.0,2231.3
185,28523,1.0,2590.55
186,30425,1.0,1806.72
187,18806,1.0,206.82
188,142589,1.0,2877.36
189,35280,1.0,2163.09
190,47173,1.0,639.64
191,190434,1.0,1656.1
192,118063,0.5,633.64
193,83393,0.5,1916.54
194,186968,0.5,1254.71
195,186519,0.5,1667.12
196,81883,1.0,1021.23
197,6916,0.5,4445.78
198,46989,0.5,2129.27
199,107133,0.5,3104.78
200,133045,0.5,7039.59
201,25136,1.0,2583.5
202,105113,0.5,2067.82
203,8617,1.0,1419.89
204,35004,0.5,2488.16
205,180325,0.5,1664.91
206,28232,1.0,578.03
207,54298,1.0,319.01
208,131022,1.0,990.61
209,24793,0.5,526.55
210,24839,1.0,665.92
211,116124,1.0,1300.07
212,15679,1.0,1193.27
213,59682,0.5,3262.78
214,177789,0.5,1169.13
215,22621,1.0,2871.53
216,66500,0.5,1189.82
217,80184,1.0,1040.75
218,86536,1.0,1294.31
219,150870,1.0,1494.2
220,117824,0.5,770.46
221,51431,1.0,984.28
222,158437,0.5,528.74
223,127047,0.5,2718.39
224,162620,1.0,3830.93
225,91001,0.5,1514.91
226,128207,0.5,4265.55
227,116465,0.5,2729.69
228,55324,1.0,832.09
229,11744,1.0,545.72
230,99143,0.5,1563.79
231,184114,1.0,4049.3
232,58159,1.0,1683.39
233,75659,0.5,1417.08
234,150753,0.5,1581.56
235,181690,1.0,628.3
236,83111,1.0,2824.36
237,92019,0.5,1741.14
238,16244,1.0,1329.24
239,24085,1.0,1019.19
240,32830,0.5,1826.74
241,175548,1.0,1219.87
242,38122,0.5,546.43
243,122969,1.0,1831.29
244,44512,0.5,720.91
245,158526,1.0,2435.49
246,128052,1.0,2328.29
247,171346,1.0,1683.03
248,143547,0.5,917.93
249,100979,1.0,845.61
250,66257,1.0,1326.84
251,104101,1.0,746.59
252,136773,0.5,3185.91
253,20386,0.5,4357.31
254,88011,1.0,1787.62
255,197280,0.5,1543.78
256,40818,0.5,249.13
257,170823,1.0,1364.08
258,79589,1.0,1646.01
259,93798,1.0,1544.94
260,134876,1.0,4177.35
261,83303,1.0,2172.02
262,189426,1.0,2111.26
263,60101,1.0,740.99
264,181055,1.0,1110.67
265,150582,0.5,537.12
266,138119,0.5,1818.79
267,58256,0.5,2118.38
268,152887,1.0,798.73
269,87404,1.0,2999.05
270,48566,1.0,1327.85
271,10877,1.0,2940.14
272,144143,1.0,2106.36
273,147997,0.5,1907.86
274,12972,0.5,269.21
275,122744,0.5,1513.66
276,7103,1.0,1077.63
277,83688,0.5,680.54
278,37385,1.0,866.62
279,62997,0.5,868.82
280,74305,1.0,2225.33
281,14792,0.5,604.82
282,28150,1.0,1656.4
283,179586,1.0,839.34
284,174574,0.5,4732.68
285,96661,0.5,2223.59
286,40152,1.0,780.24
287,183024,0.5,438.27
288,168596,0.5,1489.3
289,150856,0.5,223.42
290,91593,1.0,5225.14
291,43963,0.5,2981.09
292,107519,1.0,741.5
293,6092,0.5,1094.72
294,181752,1.0,909.1
295,41905,0.5,605.82
296,12649,0.5,1124.92
297,150096,1.0,874.1
298,191770,1.0,2036.45
299,108001,0.5,1360.89
300,2414,1.0,980.89
301,171173,1.0,957.69
302,137163,1.0,1616.12
303,66289,1.0,1290.48
304,16637,1.0,2067.54
305,154758,1.0,739.7
306,43651,0.5,2210.2
307,15949,0.5,1420.92
308,12632,1.0,1218.05
309,120338,1.0,2206.12
310,138838,0.5,3967.51
311,107043,1.0,2281.41
312,36640,0.5,6847.34
313,4466,1.0,3190.8
314,105495,1.0,1234.69
315,135961,1.0,2958.44
316,137830,1.0,296.96
317,132175,1.0,1862.95
318,148978,1.0,3094.01
319,162408,1.0,1336.92
320,134574,0.5,642.56
321,1885,1.0,803.62
322,96954,0.5,1337.28
323,67984,0.5,1862.05
324,14945,0.5,3471.69
325,54661,0.5,831.72
326,19684,1.0,3103.93
327,117701,0.5,3111.78
328,43615,1.0,1539.46
329,166303,1.0,534.91
330,122234,1.0,5981.82
331,59266,1.0,2965.16
332,79566,0.5,737.65
333,146331,1.0,209.57
334,73635,1.0,1339.13
335,61724,0.5,3524.66
336,153224,0.5,1488.47
337,184556,1.0,934.22
338,181462,1.0,824.07
339,182560,1.0,701.69
