transaction_product_id,transaction_id,product_name,product_category
1,65729,Food Delivery,Food
2,100855,Online Shopping,E-Commerce
3,43254,Other,Other
4,43050,Mobile Top Up,Digital Goods
5,46190,Education Payment,Education
6,176567,Healthcare,Healthcare
7,27257,University Payment,Education
8,59017,Bill Payment,Utilities
9,52448,Digital Subscription,Entertainment
10,199727,Restaurant,Food
11,192055,Education Payment,Education
12,115242,Other,Other
13,124175,Marketplace,E-Commerce
14,77348,Education Payment,Education
15,112670,Ride Hailing,Transport
16,117226,Streaming,Entertainment
17,28,Food Delivery,Food
18,114685,Healthcare,Healthcare
19,165969,Gaming Voucher,Entertainment
20,89966,Digital Subscription,Entertainment
21,93162,Mobile Top Up,Digital Goods
22,77934,Transportation,Transport
23,92319,Other,Other
24,59097,Education Payment,Education
25,3571,Bill Payment,Utilities
26,102477,Streaming,Entertainment
27,87927,Ride Hailing,Transport
28,67784,Internet Package,Digital Goods
29,28589,University Payment,Education
30,112808,Streaming,Entertainment
31,5055,Education Payment,Education
32,38491,Streaming,Entertainment
33,57170,Restaurant,Food
34,6554,Online Shopping,E-Commerce
35,191076,Marketplace,E-Commerce
36,38410,Restaurant,Food
37,104982,Streaming,Entertainment
38,99570,University Payment,Education
39,180864,Mobile Top Up,Digital Goods
40,50255,Restaurant,Food
41,1882,Mobile Top Up,Digital Goods
42,92353,Food Delivery,Food
43,127430,Convenience Store,Retail
44,81720,Other,Other
45,109576,Travel,Travel
46,84862,Bill Payment,Utilities
47,42412,Gaming Voucher,Entertainment
48,83177,University Payment,Education
49,129380,Digital Subscription,Entertainment
50,39638,University Payment,Education
51,54745,Bill Payment,Utilities
52,185549,Other,Other
53,5830,Bill Payment,Utilities
54,172132,Restaurant,Food
55,87845,Education Payment,Education
56,54233,Food Delivery,Food
57,186161,Travel,Travel
58,158491,Healthcare,Healthcare
59,132459,Bill Payment,Utilities
60,30370,Healthcare,Healthcare
61,115810,Gaming Voucher,Entertainment
62,119472,Ride Hailing,Transport
63,6018,University Payment,Education
